Time (s),Frequency (Hz),Concert Note,Trumpet Note
1,352.7852278890988,F4,G4
2,351.8754678172063,F4,G4
2,351.4361298347811,F4,G4
2,350.94068959241054,F4,G4
2,350.9845040612199,F4,G4
3,350.65665321350616,F4,G4
3,350.87691997578656,F4,G4
3,350.4687838412763,F4,G4
3,351.2690443906198,F4,G4
4,351.2329088429993,F4,G4
4,351.0482239719771,F4,G4
4,351.61084857912243,F4,G4
4,351.3764487932242,F4,G4
5,351.4313327575763,F4,G4
5,351.75487554495885,F4,G4
5,351.45071185803045,F4,G4
5,351.0075526087641,F4,G4
6,350.5951557019393,F4,G4
6,292.30501074715886,D4,E4
6,350.77791489912056,F4,G4
6,351.3879527042463,F4,G4
7,351.5328491930586,F4,G4
7,351.12195494979136,F4,G4
7,351.2637865446944,F4,G4
7,351.6277203,F4,G4
8,351.3007901945102,F4,G4
8,351.0913878889553,F4,G4
8,351.1393593,F4,G4
8,352.64621770628685,F4,G4
9,351.41947091765417,F4,G4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
